Date,Price,Open,High,Low,Vol.,Change
2021-09-18,3435.97,3398.55,3539.5,3371.33,600.19,0.01
2021-09-19,3329.12,3435.92,3455.67,3282.85,614,-0.03
2021-09-20,2976.05,3328.49,3344.04,2931.64,1.72,-0.11
2021-09-21,2761.52,2976.7,3101.88,2659.71,1.79,-0.07
2021-09-22,3077.78,2764.71,3087.97,2740.58,1.19,0.11
2021-09-23,3152.92,3077.8,3173,3035.96,841.54,0.02
2021-09-24,2928.57,3152.92,3158.38,2740.06,1.74,-0.07
2021-09-25,2922.55,2928.59,2965.48,2812.7,975.49,0
2021-09-26,3063.51,2922.47,3113.65,2740.12,1.33,0.05
2021-09-27,2926.24,3061.86,3163.86,2926.24,865.3,-0.04
2021-09-28,2807.28,2926.04,2969.18,2791.42,896.28,-0.04
2021-09-29,2851.5,2807.15,2948.5,2784.66,728.86,0.02
2021-09-30,3000.59,2851.06,3047.08,2837.68,968.23,0.05
2021-10-01,3309.13,2999.86,3329.32,2972.75,1.14,0.1
2021-10-02,3388.97,3309.14,3467.95,3265.97,778.15,0.02
2021-10-03,3417.34,3388.83,3485.48,3346.63,642.59,0.01
2021-10-04,3382.9,3417.26,3436.34,3273.22,826.83,-0.01
2021-10-05,3517.26,3383.32,3540.83,3365.28,663.88,0.04
2021-10-06,3575.41,3515.35,3627.19,3345.56,1.05,0.02
2021-10-07,3586,3575.43,3650.18,3473.47,826.29,0
2021-10-08,3559.42,3586.91,3668.35,3537.24,681.74,-0.01
2021-10-09,3574.2,3559.96,3626.11,3541.4,464.11,0
2021-10-10,3415.03,3574.52,3599.18,3409.22,767.49,-0.04
2021-10-11,3545.06,3414.93,3622.53,3381.43,683.24,0.04
2021-10-12,3489.9,3541.49,3545.35,3404.49,609.89,-0.02
2021-10-13,3607.28,3491.08,3612.04,3416,557.18,0.03
2021-10-14,3790.41,3607.36,3820.47,3588.24,697.09,0.05
2021-10-15,3866.9,3790.34,3904.91,3735.21,721.14,0.02
2021-10-16,3827.55,3869.05,3967.43,3804.55,527.61,-0.01
2021-10-17,3845.47,3827.55,3917.56,3664.63,543.52,0
2021-10-18,3747.6,3848.64,3892.01,3685.82,578.21,-0.03
2021-10-19,3876.78,3745.46,3884.34,3733.78,488.6,0.03
2021-10-20,4159.89,3876.76,4168.12,3830.26,752.03,0.07
2021-10-21,4054.16,4160.51,4366.91,4029.48,1.14,-0.03
2021-10-22,3970.94,4053.89,4164.11,3896.4,654.77,-0.02
2021-10-23,4168.85,3970.94,4169.33,3938.79,487.03,0.05
2021-10-24,4082.8,4168.8,4184,3965.84,507.63,-0.02
2021-10-25,4219.92,4082.68,4234.76,4069.94,481.41,0.03
2021-10-26,4129.51,4219.92,4291.98,4098.19,559.29,-0.02
2021-10-27,3921.93,4130.06,4299.61,3914.06,1.07,-0.05
2021-10-28,4284.9,3921.54,4289.8,3896.33,865.8,0.09
2021-10-29,4413.7,4284.9,4458.3,4268.21,781.57,0.03
2021-10-30,4320.65,4413.7,4428.41,4250.24,494.87,-0.02
